"annotation_id","annotator","aspect","created_at","id","lead_time","platform","polarity","sentence","source_id","updated_at"
1052,"1","general","2025-09-04T22:50:00.805660Z",2012,6.757,"amazon","positive","The fully illustrated instruction manual is supplemented by a copy of &#34;The Sky X&#34; astronomy software that turns your PC into a virtual planetarium.<br />My kids love to use this telescope it is so easy to use and understand.","B001TI9Y2M","2025-09-04T22:50:00.805680Z"
1053,"1","general","2025-09-04T22:50:33.027539Z",2013,9.892,"amazon","negative","This is a bad ass center channel bose  Has nothing on this baby.","B00009WBYL","2025-09-04T22:50:33.027558Z"
1054,"1","general","2025-09-04T22:50:37.994302Z",2014,4.845,"amazon","positive","The color is bright red and quality is very good.","B015JHHDJE","2025-09-04T22:50:37.994325Z"
1055,"1","usability","2025-09-04T22:50:47.990285Z",2015,9.878,"amazon","positive","The camera Ethernet cables connect to the base station easily and show up in the client software.<br /><br />I was using a PC with Windows 10.","B07Z51DX53","2025-09-04T22:50:47.990308Z"
1056,"1","battery","2025-09-04T22:50:56.206773Z",2016,8.085,"amazon","negative","Only issue is the Fresh Alkaline batteries (3) different high end Alkaline sets of 4 batteries only last 2 months in my New Gen Siren.","B08B3JFRHH","2025-09-04T22:50:56.206799Z"
1057,"1","general","2025-09-04T22:51:43.891636Z",2017,47.546,"amazon","negative","Are others having this problem?","B00275G08W","2025-09-04T22:51:43.891658Z"
1058,"1","general","2025-09-04T23:16:20.955301Z",2018,1476.729,"amazon","neutral","I don't do anything fancy with it, haven't tied into Roku or Hulu or tried to sync with other units in the house, just record my favorites for watching in the living room and it works great for that.","B006L8TX94","2025-09-04T23:16:20.955325Z"
1059,"1","other","2025-09-04T23:16:30.790095Z",2019,9.643,"amazon","positive","They stay cool and rubberized coating on the handles help to give a good, strong grip, even when your hands are wet.","B001CEPYVS","2025-09-04T23:16:30.790115Z"
1060,"1","general","2025-09-04T23:16:40.357864Z",2020,9.444,"amazon","negative","The PC comes with Windows 11 pre-installed and it launched flawlessly when I turned the PC on.<br /><br />There are 2 limitations for me.","B09QKPJFTQ","2025-09-04T23:16:40.357888Z"
1061,"1","usability","2025-09-04T23:16:47.485973Z",2021,7.009,"amazon","neutral","It’s not quite a plug-and-play operation, but pretty close.<br /><br />The enclosure is metal and feels pretty solid.","B00GYR752E","2025-09-04T23:16:47.485992Z"
1062,"1","general","2025-09-04T23:16:55.645876Z",2022,8.041,"amazon","negative","They're easier to find now, and the boxes are attractive enough that I can stack them on the shelves.<br /><br />The only problem I have is that while there's a small holder for a label, no blank labels are included.","B002V919DK","2025-09-04T23:16:55.645918Z"
1063,"1","usability","2025-09-04T23:20:48.966567Z",2023,233.107,"amazon","neutral","One thing I wasn't thrilled about is that the only monitor input to the switch is HDMI.","B01BNDK2BY","2025-09-04T23:20:48.966598Z"
1064,"1","support","2025-09-04T23:24:40.805458Z",2024,231.521,"amazon","positive","The ring is fantastic after a few problem, was my router I had to change and then work like a charm, the Ring support team are very helpful I Thanked them for being able to resolving all the issues.","B01DM6BDA4","2025-09-04T23:24:40.805503Z"
1065,"1","general","2025-09-04T23:24:47.957057Z",2025,6.944,"amazon","neutral","Instax Mini film is pretty inexpensive and easy to find.","B091D8C7RC","2025-09-04T23:24:47.957078Z"
1066,"1","general","2025-09-04T23:24:52.118808Z",2026,4.036,"amazon","neutral","They kind of do everything pretty ok but nothing great.","B095VWWY4C","2025-09-04T23:24:52.118841Z"
1067,"1","usability","2025-09-04T23:27:41.944621Z",2027,169.618,"amazon","negative","There seems to be a copyright issue.","B00J9C2JDG","2025-09-04T23:27:41.944646Z"
1068,"1","general","2025-09-04T23:27:57.067525Z",2028,14.907,"amazon","neutral","Although the charge stays for a long time so it's not like you're going to be swapping them out a lot.<br /><br />So for the known issue.","B01M9EURM1","2025-09-04T23:27:57.067546Z"
