sample_id,text,polarity_original
063437dfe2be485d856b130442667161,"It has come in handy more than a couple of times, and the covers help keep the unused ports clean.",neutral
b711cdf21e964a2ea917fba3a088ca0e,The side effects with focus shift are not too good.,negative
cd1a068bdcf747fdaaecb00c4d450a43,"Quiet, but gives enough breeze to keep the air circulating around me.",positive
c1284d5b2d494c38a077d0b259b81223,Immediately sent it back for return.,negative
0849541987324edc9d84d7eb2f1eb1f7,Did not hold up long.,negative
799245fa8c1c433b8c2371934aeb5850,It’s sturdy and doesn’t kink.,positive
87587fd41f4c4073a58fe4b2835a68b9,"Rechargeable battery inside - no more throwing away batteries (love, it's green) The sound is extremely clear, words and notes distinct.<br /><br />Cons: The sound is just a bit on the tinny side.",positive
30001803c80041c0a668b375f7d37d57,Not the correct hardware for our application.,negative
6147781f76954a768c1a8973373cb587,"Then I went to school, put a lot of files on it (which I cannot get again), went home to transfer them to my computer and nothing.",negative
b27a97b3865846788eeef59cf495b923,Nero software was a problem also.,negative
9ce001356c4042509f96ee60b162d9e6,Very basic and average for listening to music via Bluetooth from a tablet or phone.,neutral
590a0d29f6244a95bbb7d9f0f3564843,We have had our soundbar for almost a year now and are loving our T.V. programs and surrounded by great sound with the music.,positive
5f708ce1ed574f5089e8159fd5d6631b,I love that I can use my existing home monitors/keyboard/mouse/speakers with my work laptop without having to unplug everything every time I switch computers.,positive
dd1d301f54d0483a9db18c63a4f576cc,It allows you to select data from the whole drive of your computer or if you wish only a single file or folder and copy and store them from the computer to the external hard drive.,neutral
ba7ccdbd0a6f4150bbef4fc5fa803d05,Not worth the money at all not to mention I actually lost money on this since they didn’t fully refund me.,negative
aebcee92c15a4d1b90d46c858c2aa638,I use it by bed side to charge all of my devices needing charging.,neutral
1c7dea27b39e4774883a75b653c992de,"No my wireless is not this slow, it definitely is the monuments bottleneck even though I'm connected using wired connection of 1Gbps.<br />- cannot backup Video's.",negative
40d119d059cd4551ae80a90a55aa7f50,Quite satisfied for my uses.,neutral
4c4904ca63394233b0cfb439cd530dc1,Google Play apps aren't compatible either.,negative
b301373a5dfe463c91d4f57558e1be7e,"I followed them, several times, reverting back to Region 1 each time.",neutral
fcd16d457bda490392910efba1311750,Love the adjustable ear pieces and noise cancellation.,positive
91d2fd80c4074f10a4cea16972aeacc1,"Nothing wrong with the 10 inch one - it works GREAT, but this one is so much larger, making the photos easier to see from across the room.",positive
94669f84cd10447ba4736cf9197af9a8,This is a notorious fault of the cmos chips.,negative
625c58bd15ac4c27a4979641ab8cfc90,Last month I added the Sonos One in a different room.,neutral
9ca076e4998745c2b1d5d0d363b47ddb,I've tried all the troubleshooting steps but always the same issue.,negative
7d9c575977bc450da230e11c88654e0d,If you've ever used the older style connectors then you'll know what I mean when I say I'm tossing all of my old non-pass-through connectors out.,neutral
f4de7e4e5ac84c19ab373edb412575ff,Compares favorably to more expensive cases.,positive
2bf461492a074cd399738649431d8e62,Purchased extended warranty and going that route but am not happy with the added hassle of dealing with this.,negative
acd0c258aff34e8184c41248fa165b5a,"When the resolving problem occurred, I simply put the Telco's DNS resolver IP's back in the configuration.<br /><br />Please note: Do not forget to put in all the available firmware updates.",neutral
91dfc95d3d6d4739b62aefc66f3d017c,"However, what you can do is go to your menu and hit ""detour"" to take you around it, but the problem with this is you won't realize you have to hit detour until you get stuck.",neutral
fc1a2751a94e478b88c2098e8e280f4a,"Of course, if you want to get back to your laptop and enjoy the external speakers, repeat steps 3 & 4 and change back to DIGITAL.",neutral
dc82b559eee24eaf863c2e6ebe9cdd65,Worst fire tabI ever bought.,negative
b8d8f6a2ffaf432698350be93fdde08c,Maybe it was just a fluke.,negative
23d1ab9fbd5f4d9eacdaccf0156ec22c,The quality is about equal to having your phone on speaker and walking 5-10 feet away to talk.,neutral
bf9c24589c0c46818748d9e69f2734ab,I will just have go to a big box store (which I hate) and purchase a different and new model.,negative
ce4c559b00294235b0937240595ac6f8,This can be an issue if you bought this to use behind furniture that must be close to the wall.<br /><br />All six outlets are powered by one plug.,negative
562759ee078740c989a821db7e1b53a0,"I usually have it in my bedroom and when I have it loud enough, I can hear the music clearly in my bathroom while I'm showering.",positive
46ce483ff35649db9ff50ffb06b5addc,Great camera system for the price.,positive
0539bc22dbf340feb42206082faa3b9c,"Seems solidly connect and fit AVR snug as a bug, really don't think it would come loose.",positive
390b263cbac344b4a261f3a7e5390968,Great pressure and suction for what it's used for!,positive
5d5fa8a33f7247818789b090f5b33e4f,TERRIBLE.<br />TODAY TRIED TO COPY FILES 100-200MB AND EXPERIENCED PROBLEM.,negative
4ac15bef9c844453bf1e71a0b9212827,I also think $300 is a good price for this type of camera.,neutral
29064465bac64673b026598afd5a5c57,A good selection of wallpaper including live wallpaper and you CAN add your own.,positive
d7837ff1ada94503a74e73787a639976,Love the way it attaches to objects so that you don’t lose them.,positive
