"annotation_id","annotator","aspect","created_at","id","lead_time","platform","polarity","sentence","source_id","updated_at"
152,"1","build_quality","2025-09-01T03:13:31.633726Z",1112,103.291,"amazon","positive","This is a solid low profile mount that can be converted into a drop down with the addition of a length of threaded pipe.","B000TXNS6G","2025-09-01T03:13:31.633743Z"
153,"1","other","2025-09-01T03:13:59.663920Z",1113,19.53,"amazon","negative","What is the problem with this little MP3 player is just about everything else.","B085Y4QQNH","2025-09-01T03:13:59.663935Z"
154,"1","performance","2025-09-01T03:14:07.755921Z",1114,7.121,"amazon","neutral","Instruments sound like they should.","B000P0PF9G","2025-09-01T03:14:07.755934Z"
155,"1","general","2025-09-01T03:14:18.278413Z",1115,9.578,"amazon","positive","Easy choice for me to go for this after reading all the great reviews.","B001UB09G8","2025-09-01T03:14:18.278454Z"
156,"1","support","2025-09-01T03:14:28.797201Z",1116,9.534,"amazon","negative","On the packing slip it states to email them or call with any concerns, however, they did not include any contact information.","B003ZWXDE0","2025-09-01T03:14:28.797228Z"
157,"1","usability","2025-09-01T03:14:41.345901Z",1117,11.75,"amazon","negative","And the apps I do find often don't work well - with buggy interface with the touch screen, or half-loading screens.<br /><br />(2)  Touch screen is overall, AWFUL!","B0051VVOB2","2025-09-01T03:14:41.345938Z"
158,"1","design","2025-09-01T03:14:53.315410Z",1118,10.99,"amazon","positive","I use Apple and Matias Tactile Pro keyboards for most all my CPU's so I'm used to a good quality.","B004H0BQOI","2025-09-01T03:14:53.315427Z"
159,"1","build_quality","2025-09-01T03:15:05.319674Z",1119,10.642,"amazon","positive","Overall, I’m pleased to have found such high quality at this price-point and would recommend this set.","B079N9HDNQ","2025-09-01T03:15:05.319689Z"
160,"1","other","2025-09-01T03:15:10.394614Z",1120,4.181,"amazon","neutral","I will order another one and see if the next one does it too.","B00IO4X1IM","2025-09-01T03:15:10.394632Z"
161,"1","usability","2025-09-01T03:15:19.163006Z",1121,7.862,"amazon","neutral","It can be moved up to 18"" from the wall, angled down 15 degrees, and can be rotated until the TV hits the wall.<br /><br />There is not a size limit, even though it says 55"".","B00QOOZ4DE","2025-09-01T03:15:19.163021Z"
